Point_Index,Method_47_Success_Rate,Method_47_Time_ms,Method_45_Success_Rate,Method_45_Time_ms,Method_Auto_Success_Rate,Method_Auto_Time_ms
176,60.20,63.00,92.70,100.00,99.00,100.00
177,37.12,50.00,37.80,51.00,59.26,71.00
178,51.90,52.00,98.94,89.00,99.00,90.00
179,45.97,68.00,49.71,66.00,67.45,92.00
180,50.81,55.00,88.54,77.00,88.80,79.00
181,24.66,39.00,38.90,55.00,53.60,77.00
182,21.22,37.00,15.33,36.00,31.47,57.00
183,23.10,53.00,27.69,44.00,48.25,70.00
184,24.66,51.00,55.48,73.00,66.72,93.00
185,45.51,50.00,52.57,68.00,62.25,68.00
186,38.55,40.00,42.96,49.00,56.96,59.00
187,51.52,50.00,98.98,84.00,99.00,87.00
188,52.96,54.00,98.24,93.00,99.00,94.00
189,96.00,115.00,17.58,34.00,97.34,117.00
190,60.54,69.00,15.92,34.00,63.16,76.00
191,52.63,60.00,98.82,91.00,99.00,91.00
192,65.49,62.00,80.16,73.00,96.42,89.00
193,42.23,53.00,54.70,55.00,64.88,63.00
194,51.92,53.00,94.80,84.00,96.42,88.00
195,14.26,33.00,13.22,39.00,15.84,49.00
196,51.89,52.00,93.16,82.00,95.50,83.00
197,25.27,44.00,13.57,36.00,31.85,61.00
198,30.26,45.00,18.58,40.00,36.90,61.00
199,3.88,33.00,11.92,45.00,15.04,64.00
200,50.79,48.00,82.44,88.00,93.32,75.00
201,53.76,51.00,96.64,79.00,98.70,78.00
202,78.79,96.00,63.08,83.00,98.82,115.00
203,51.07,51.00,88.44,78.00,88.98,80.00
204,57.13,64.00,84.16,93.00,94.96,106.00
205,29.75,50.00,64.05,88.00,64.35,103.00
206,54.46,52.00,97.22,98.00,99.00,98.00
207,56.49,61.00,95.28,101.00,99.00,106.00
208,63.10,68.00,89.08,101.00,98.88,115.00
209,35.29,53.00,3.42,19.00,35.50,56.00
210,66.54,112.00,85.80,101.00,99.00,135.00
211,79.56,97.00,64.64,86.00,98.74,128.00
212,46.97,49.00,58.29,66.00,66.05,72.00
213,71.67,86.00,78.44,99.00,99.00,117.00
214,49.54,47.00,68.19,68.00,84.11,77.00
215,64.87,78.00,61.02,72.00,89.92,98.00
216,26.60,41.00,43.78,60.00,55.78,79.00
217,63.05,54.00,87.30,73.00,97.28,79.00
218,62.50,58.00,90.48,82.00,99.00,92.00
219,43.77,55.00,56.95,61.00,67.55,71.00
220,33.82,47.00,23.92,42.00,47.20,66.00
221,72.90,83.00,75.72,94.00,99.00,107.00
222,52.05,62.00,25.93,40.00,60.79,68.00
223,50.21,50.00,72.61,70.00,86.03,83.00
224,63.54,71.00,89.28,100.00,99.00,108.00
225,66.49,62.00,70.64,61.00,91.84,98.00
226,84.13,83.00,17.48,32.00,86.18,88.00
227,18.05,34.00,36.76,53.00,48.33,66.00
228,57.22,60.00,95.40,100.00,99.00,102.00
229,77.61,96.00,61.46,82.00,95.86,118.00
230,66.24,78.00,85.80,101.00,99.00,120.00
231,5.53,31.00,17.64,37.00,22.14,54.00
232,59.71,65.00,79.90,90.00,87.12,95.00
233,84.36,96.00,53.84,68.00,98.32,114.00
234,49.13,51.00,57.99,61.00,62.37,66.00
235,40.82,77.00,40.09,66.00,54.45,98.00
236,16.46,44.00,44.55,83.00,44.55,86.00
237,67.03,79.00,76.56,101.00,98.80,113.00
238,53.51,46.00,98.38,83.00,99.00,84.00
239,26.68,45.00,56.19,67.00,72.20,89.00
240,5.98,35.00,11.98,47.00,17.66,87.00
241,55.83,59.00,96.18,98.00,99.00,102.00
242,87.34,114.00,48.82,70.00,99.00,128.00
243,92.23,97.00,27.64,41.00,96.78,100.00
244,63.70,70.00,89.12,97.00,99.00,105.00
245,87.23,116.00,49.44,69.00,99.00,127.00
246,29.52,40.00,66.94,70.00,71.54,76.00
247,95.50,126.00,27.04,43.00,99.00,130.00
248,52.17,46.00,69.65,60.00,75.01,65.00
249,66.63,68.00,47.66,54.00,88.64,86.00
250,48.32,48.00,72.98,74.00,73.26,75.00
251,62.63,93.00,58.95,84.00,82.17,133.00
252,75.39,81.00,71.88,88.00,98.66,107.00
253,65.28,76.00,86.60,105.00,99.00,232.00
254,58.96,66.00,94.08,126.00,99.00,122.00
255,82.46,99.00,59.12,77.00,98.88,124.00
256,23.10,36.00,17.64,39.00,23.60,52.00
257,54.82,58.00,97.16,100.00,99.00,99.00
258,52.20,52.00,94.52,81.00,98.30,83.00
259,38.81,47.00,33.58,48.00,53.38,71.00
260,61.48,66.00,89.20,98.00,98.44,106.00
261,41.27,65.00,66.14,93.00,78.47,117.00
262,96.72,134.00,22.14,38.00,99.00,129.00
263,21.00,45.00,47.05,65.00,55.37,83.00
264,70.79,74.00,17.93,30.00,76.21,80.00
265,11.85,34.00,7.44,31.00,19.13,52.00
266,53.55,65.00,83.52,100.00,97.66,132.00
267,64.08,68.00,87.96,97.00,99.00,107.00
268,65.88,67.00,3.22,17.00,68.84,80.00
269,70.61,69.00,73.32,77.00,93.06,89.00
270,60.28,67.00,92.66,102.00,99.00,109.00
271,38.89,56.00,40.86,55.00,68.09,86.00
272,40.25,52.00,42.16,56.00,68.29,80.00
273,34.37,43.00,74.69,74.00,74.69,75.00
274,82.14,88.00,36.55,50.00,92.13,98.00
275,31.01,44.00,19.91,39.00,35.17,62.00
276,80.57,79.00,63.74,70.00,99.00,99.00
277,48.73,49.00,81.61,74.00,81.65,76.00
278,55.44,48.00,93.58,73.00,97.82,76.00
279,56.60,52.00,36.47,47.00,67.85,66.00
280,69.25,83.00,81.60,98.00,99.00,117.00
281,43.80,40.00,56.94,58.00,75.26,68.00
282,68.86,72.00,82.68,92.00,99.00,144.00
283,51.56,73.00,86.11,84.00,92.91,83.00
284,25.14,53.00,29.42,49.00,48.04,80.00
285,9.60,39.00,2.03,21.00,9.63,44.00
286,60.27,69.00,92.74,105.00,99.00,106.00
287,87.24,117.00,49.34,72.00,99.00,126.00
288,78.07,89.00,66.88,84.00,98.50,112.00
289,75.32,97.00,68.78,89.00,97.14,122.00
290,65.40,60.00,46.16,49.00,74.92,72.00
291,76.09,100.00,60.75,83.00,94.05,121.00
292,55.74,49.00,96.44,81.00,99.00,83.00
293,51.45,50.00,93.68,109.00,94.26,82.00
294,59.43,64.00,93.04,98.00,99.00,104.00
295,64.87,74.00,87.62,101.00,99.00,166.00
296,56.98,63.00,95.92,99.00,99.00,103.00
297,70.15,76.00,31.44,44.00,85.28,92.00
298,80.37,102.00,64.18,84.00,99.00,132.00
299,51.76,53.00,96.76,84.00,97.78,87.00
300,68.18,66.00,80.02,76.00,98.96,87.00
301,66.96,81.00,84.86,103.00,99.00,114.00
302,50.38,48.00,95.88,70.00,95.88,72.00
303,2.89,42.00,13.61,46.00,14.48,76.00
304,51.76,53.00,92.00,84.00,94.34,84.00
305,49.27,44.00,77.25,79.00,82.97,69.00
306,96.83,92.00,18.94,28.00,98.46,93.00
307,54.25,50.00,95.77,95.00,97.97,91.00
308,50.94,47.00,93.72,73.00,95.12,76.00
309,64.05,60.00,88.54,84.00,99.00,95.00
310,84.75,119.00,30.93,51.00,90.09,125.00
311,19.79,43.00,32.32,50.00,44.75,71.00
312,23.33,40.00,18.05,40.00,35.89,61.00
313,21.85,37.00,58.21,63.00,64.98,72.00
314,7.72,33.00,12.04,41.00,16.08,60.00
315,5.49,30.00,2.44,33.00,7.93,51.00
316,32.65,48.00,49.42,58.00,72.75,83.00
317,41.97,64.00,65.80,92.00,71.28,103.00
318,28.52,50.00,41.88,56.00,56.22,81.00
319,31.92,39.00,34.31,48.00,54.35,63.00
320,18.70,49.00,48.30,83.00,56.46,101.00
321,42.04,43.00,42.61,49.00,53.35,58.00
322,42.39,62.00,65.49,90.00,71.85,101.00
323,40.15,39.00,53.29,54.00,54.01,57.00
324,89.78,120.00,42.94,65.00,99.00,127.00
325,59.16,69.00,93.76,102.00,99.00,110.00
326,20.30,42.00,12.52,36.00,23.82,54.00
327,16.40,33.00,26.49,45.00,37.87,63.00
328,28.25,56.00,41.61,63.00,46.53,81.00
329,72.27,99.00,28.25,48.00,72.27,101.00
330,23.70,56.00,43.78,65.00,45.54,82.00
331,59.88,58.00,93.04,96.00,99.00,103.00
332,15.31,42.00,50.57,79.00,56.98,98.00
333,68.12,74.00,81.78,91.00,98.34,106.00
334,7.77,34.00,18.64,50.00,21.65,65.00
335,88.47,82.00,44.62,49.00,98.34,91.00
336,85.91,91.00,52.20,60.00,99.00,102.00
337,30.68,47.00,48.23,61.00,56.77,69.00
338,34.04,56.00,55.02,75.00,66.54,97.00
339,61.91,56.00,74.26,75.00,86.44,72.00
340,64.60,59.00,85.18,70.00,96.88,76.00
341,66.04,80.00,86.46,106.00,99.00,130.00
342,58.72,67.00,44.79,60.00,64.27,77.00
343,20.12,40.00,10.83,34.00,20.13,52.00
344,72.35,87.00,74.72,93.00,97.78,121.00
345,6.68,34.00,27.72,58.00,27.72,73.00
346,46.96,49.00,71.22,72.00,71.28,74.00
347,22.58,51.00,51.09,81.00,62.13,106.00
348,85.43,87.00,53.68,61.00,99.00,102.00
349,37.40,83.00,30.88,43.00,42.94,57.00
350,86.57,111.00,46.38,71.00,98.34,125.00
351,46.58,49.00,55.03,61.00,73.07,77.00
352,18.83,34.00,20.71,46.00,20.79,53.00
353,49.62,43.00,78.57,66.00,80.19,66.00
354,52.56,70.00,98.72,90.00,99.00,92.00
355,43.86,42.00,54.36,53.00,77.46,70.00
356,6.52,30.00,5.36,35.00,9.02,50.00
357,94.39,126.00,30.24,48.00,99.00,133.00
358,7.72,28.00,6.22,34.00,7.92,47.00
359,45.58,42.00,61.92,57.00,67.88,62.00
360,58.74,62.00,94.30,101.00,99.00,105.00
361,68.80,82.00,81.94,100.00,99.00,117.00
362,28.67,52.00,58.63,74.00,67.30,89.00
363,66.15,76.00,86.06,101.00,99.00,114.00
364,8.48,34.00,35.08,59.00,35.08,71.00
365,51.43,51.00,88.94,89.00,89.10,85.00
366,63.32,69.00,89.54,101.00,99.00,115.00
367,57.65,58.00,94.98,96.00,99.00,99.00
368,49.51,50.00,67.74,69.00,83.50,83.00
369,40.06,43.00,36.30,42.00,51.24,59.00
370,49.77,53.00,75.22,71.00,76.36,72.00
371,50.13,55.00,42.85,72.00,54.45,69.00
372,42.56,52.00,82.72,94.00,86.96,101.00
373,28.72,38.00,31.05,45.00,37.41,66.00
374,19.14,41.00,12.62,37.00,31.76,62.00
375,22.24,36.00,35.68,52.00,51.50,64.00
376,7.13,41.00,36.84,65.00,41.35,82.00
377,64.82,65.00,87.10,91.00,99.00,103.00
378,11.16,38.00,4.50,32.00,15.66,53.00
379,52.56,52.00,98.92,89.00,99.00,91.00
380,42.76,72.00,58.62,85.00,67.32,104.00
381,50.13,50.00,70.80,69.00,86.04,85.00
382,60.89,62.00,91.50,97.00,99.00,105.00
383,50.70,51.00,79.73,76.00,84.19,80.00
384,16.03,38.00,47.27,54.00,48.45,68.00
385,10.98,28.00,9.78,36.00,11.88,50.00
386,18.40,40.00,34.15,51.00,35.57,68.00
387,84.45,76.00,46.16,48.00,96.16,86.00
388,29.22,42.00,18.44,37.00,32.84,57.00
389,85.54,102.00,53.28,72.00,99.00,133.00
390,98.84,132.00,9.72,24.00,98.84,149.00
391,27.27,41.00,49.58,61.00,61.89,79.00
392,33.11,61.00,58.42,88.00,70.63,114.00
393,77.06,95.00,69.86,98.00,99.00,123.00
394,49.67,62.00,35.43,50.00,67.83,80.00
395,59.52,69.00,84.64,102.00,98.86,106.00
396,14.72,33.00,24.54,47.00,35.56,64.00
397,53.64,54.00,98.20,94.00,99.00,93.00
398,9.87,38.00,41.34,67.00,44.85,84.00
399,9.52,37.00,15.66,42.00,25.18,67.00
400,17.09,36.00,44.76,52.00,59.09,68.00
401,71.87,81.00,76.32,91.00,98.60,109.00
402,84.01,77.00,49.84,54.00,96.42,93.00
403,80.18,102.00,64.52,86.00,99.00,119.00
404,55.32,51.00,83.30,70.00,90.08,76.00
405,83.78,98.00,55.80,77.00,99.00,124.00
406,69.90,82.00,81.16,98.00,99.00,116.00
407,20.97,33.00,61.38,67.00,61.38,74.00
408,34.41,53.00,69.49,91.00,70.29,104.00
409,65.58,69.00,86.18,95.00,99.00,105.00
410,57.22,61.00,93.90,100.00,99.00,107.00
411,50.50,50.00,79.73,74.00,82.25,82.00
412,94.21,124.00,30.60,48.00,99.00,134.00
413,52.33,52.00,98.60,95.00,99.00,96.00
414,5.70,34.00,33.61,56.00,35.69,77.00
415,46.50,49.00,56.08,65.00,65.54,74.00
416,55.79,55.00,50.80,54.00,75.42,72.00
417,53.49,89.00,97.48,101.00,98.88,99.00
418,37.52,40.00,61.50,65.00,62.10,63.00
419,56.26,56.00,95.96,98.00,99.00,97.00
420,20.28,49.00,15.37,32.00,30.83,61.00
421,13.93,43.00,26.32,45.00,27.34,63.00
422,83.93,102.00,40.60,59.00,93.28,111.00
423,45.73,55.00,78.52,86.00,89.76,101.00
424,70.05,64.00,79.94,72.00,99.00,98.00
425,7.90,33.00,30.69,53.00,30.69,67.00
426,46.00,48.00,84.36,78.00,85.00,77.00
427,98.22,128.00,15.78,30.00,98.96,131.00
428,70.55,80.00,42.79,58.00,86.70,93.00
429,54.36,48.00,87.58,68.00,94.10,73.00
430,69.44,81.00,81.16,120.00,99.00,122.00
431,19.74,43.00,46.96,67.00,54.86,84.00
432,64.83,78.00,53.72,73.00,73.26,89.00
433,69.00,94.00,36.20,57.00,77.22,119.00
434,71.18,81.00,78.70,100.00,99.00,130.00
435,43.83,49.00,47.33,59.00,55.17,70.00
436,73.29,85.00,76.44,93.00,99.00,116.00
437,56.45,159.00,65.88,89.00,81.18,118.00
438,72.67,106.00,20.96,41.00,75.24,113.00
439,54.73,57.00,63.98,61.00,87.40,90.00
440,46.01,60.00,80.00,99.00,83.16,106.00
441,61.60,74.00,75.26,78.00,93.92,94.00
442,49.73,52.00,70.44,69.00,81.96,80.00
443,42.43,47.00,62.45,65.00,78.15,77.00
444,56.61,56.00,95.58,95.00,99.00,99.00
445,20.73,40.00,8.46,28.00,21.08,51.00
446,58.93,72.00,67.44,79.00,88.16,99.00
447,60.15,65.00,92.62,102.00,99.00,109.00
448,74.11,88.00,74.44,96.00,99.00,117.00
449,91.94,87.00,35.86,43.00,98.46,94.00
450,80.18,73.00,64.52,62.00,99.00,89.00
451,52.90,52.00,97.46,92.00,98.62,95.00
452,4.92,30.00,26.79,46.00,26.79,58.00
453,10.46,30.00,28.86,48.00,29.86,57.00
454,53.63,54.00,98.02,98.00,99.00,100.00
455,48.46,49.00,65.85,66.00,69.65,76.00
456,50.60,52.00,94.86,93.00,98.26,98.00
457,91.90,81.00,34.98,38.00,98.30,89.00
458,48.62,51.00,64.57,66.00,78.97,78.00
459,65.12,73.00,87.46,100.00,99.00,109.00
460,42.15,48.00,58.57,64.00,61.91,71.00
461,7.74,39.00,31.98,55.00,35.84,76.00
462,56.72,51.00,95.62,88.00,99.00,90.00
463,8.26,31.00,35.97,58.00,43.01,77.00
464,75.77,68.00,21.81,31.00,89.80,80.00
465,46.74,49.00,56.64,62.00,69.04,72.00
466,71.22,84.00,79.18,102.00,99.00,113.00
467,58.93,62.00,93.76,123.00,99.00,105.00
468,19.75,40.00,15.57,41.00,24.77,61.00
469,5.52,28.00,1.82,33.00,6.84,49.00
470,62.07,71.00,68.98,85.00,88.42,106.00
471,51.94,58.00,9.47,23.00,52.14,62.00
472,86.96,117.00,49.64,69.00,99.00,130.00
473,45.38,43.00,57.45,55.00,77.83,70.00
474,64.35,73.00,85.46,96.00,99.00,112.00
475,35.53,38.00,41.29,50.00,42.57,56.00
476,54.93,49.00,97.22,91.00,99.00,87.00
477,63.11,58.00,89.46,82.00,99.00,89.00
478,64.74,83.00,63.72,84.00,94.92,151.00
479,7.80,29.00,15.16,40.00,21.64,54.00
480,79.10,117.00,65.58,86.00,99.00,125.00
481,57.85,67.00,57.70,66.00,85.44,103.00
482,66.46,100.00,32.44,52.00,73.26,115.00
483,48.43,50.00,63.64,66.00,76.00,80.00
484,29.38,49.00,6.32,32.00,33.10,63.00
485,68.10,69.00,83.66,93.00,99.00,95.00
486,61.87,55.00,90.34,76.00,98.68,81.00
487,32.33,54.00,7.97,31.00,32.33,61.00
488,84.39,122.00,38.07,59.00,92.07,119.00
489,35.63,56.00,63.59,73.00,75.33,90.00
490,73.86,101.00,54.63,78.00,89.90,121.00
491,88.58,116.00,46.06,67.00,99.00,127.00
492,37.08,58.00,3.22,19.00,40.30,85.00
493,69.20,82.00,81.44,98.00,99.00,116.00
494,14.58,38.00,42.84,54.00,55.64,74.00
495,17.20,31.00,17.49,40.00,26.01,53.00
496,45.20,46.00,62.68,68.00,70.22,67.00
497,45.07,49.00,50.08,58.00,67.22,74.00
498,24.18,42.00,7.62,31.00,31.54,66.00
499,41.68,42.00,45.88,50.00,68.36,68.00
500,79.39,130.00,65.24,91.00,99.00,121.00
501,83.27,107.00,58.36,79.00,99.00,125.00
502,66.26,77.00,86.06,103.00,99.00,111.00
503,51.60,46.00,50.18,51.00,67.90,63.00
504,67.22,70.00,68.80,72.00,92.68,93.00
505,60.56,65.00,92.50,103.00,99.00,119.00
506,3.91,32.00,1.45,25.00,4.27,50.00
507,49.65,50.00,73.74,86.00,74.86,75.00
508,17.66,42.00,7.32,28.00,24.68,58.00
509,56.68,55.00,46.45,45.00,70.53,69.00
510,75.09,87.00,73.28,93.00,99.00,111.00
511,6.27,32.00,36.78,66.00,38.57,82.00
512,73.98,96.00,35.83,44.00,86.89,86.00
513,39.41,45.00,49.69,61.00,50.49,70.00
514,28.62,40.00,19.32,36.00,40.04,58.00
515,51.94,50.00,87.96,77.00,95.96,84.00
516,65.54,68.00,69.70,78.00,92.62,89.00
517,77.67,78.00,68.88,75.00,99.00,95.00
518,2.66,28.00,3.08,31.00,3.22,47.00
519,76.09,93.00,71.04,93.00,99.00,127.00
520,54.10,54.00,97.52,100.00,99.00,98.00
521,68.81,72.00,79.89,91.00,98.01,102.00
522,47.45,52.00,24.98,30.00,53.58,60.00
523,97.10,129.00,20.86,38.00,99.00,132.00
524,58.28,61.00,90.58,102.00,95.04,102.00
525,25.03,41.00,13.00,33.00,25.74,54.00
526,77.62,68.00,68.62,60.00,98.90,82.00
527,88.11,116.00,37.90,58.00,95.68,129.00
528,43.60,51.00,35.90,48.00,45.54,64.00
529,42.47,70.00,56.18,92.00,65.34,102.00
530,30.38,44.00,19.87,39.00,37.25,61.00
531,88.32,110.00,46.02,91.00,99.00,134.00
532,67.98,62.00,83.22,79.00,98.84,99.00
