Point_Index,Method_47_Success_Rate,Method_47_Time_ms,Method_45_Success_Rate,Method_45_Time_ms,Method_Auto_Success_Rate,Method_Auto_Time_ms
166,5.26,29,8.28,38,13.54,54
167,72.91,88,76.48,95,99,116
168,27.94,36,27.55,41,52.01,59
169,32.14,47,69.04,83,73.67,90
170,91.07,118,39.82,59,99,127
171,36.14,53,62.28,66,85.94,90
172,67.51,76,79.74,94,96.8,101
173,81.58,105,41.99,60,93.75,121
174,26.22,50,59.96,73,70.16,91
175,62.28,65,7.49,21,63.74,67
176,60.2,63,92.7,100,99,100
177,37.12,50,37.8,51,59.26,71
178,51.9,52,98.94,89,99,90
179,45.97,68,49.71,66,67.45,92
180,50.81,55,88.54,77,88.8,79
181,24.66,39,38.9,55,53.6,77
182,21.22,37,15.33,36,31.47,57
183,23.1,53,27.69,44,48.25,70
184,24.66,51,55.48,73,66.72,93
185,45.51,50,52.57,68,62.25,68
186,38.55,40,42.96,49,56.96,59
187,51.52,50,98.98,84,99,87
188,52.96,54,98.24,93,99,94
189,96,115,17.58,34,97.34,117
190,60.54,69,15.92,34,63.16,76
191,52.63,60,98.82,91,99,91
192,65.49,62,80.16,73,96.42,89
193,42.23,53,54.7,55,64.88,63
194,51.92,53,94.8,84,96.42,88
195,14.26,33,13.22,39,15.84,49
196,51.89,52,93.16,82,95.5,83
197,25.27,44,13.57,36,31.85,61
198,30.26,45,18.58,40,36.9,61
199,3.88,33,11.92,45,15.04,64
200,50.79,48,82.44,88,93.32,75
201,53.76,51,96.64,79,98.7,78
202,78.79,96,63.08,83,98.82,115
203,51.07,51,88.44,78,88.98,80
204,57.13,64,84.16,93,94.96,106
205,29.75,50,64.05,88,64.35,103
206,54.46,52,97.22,98,99,98
207,56.49,61,95.28,101,99,106
208,63.1,68,89.08,101,98.88,115
209,35.29,53,3.42,19,35.5,56
210,66.54,112,85.8,101,99,135
211,79.56,97,64.64,86,98.74,128
212,46.97,49,58.29,66,66.05,72
213,71.67,86,78.44,99,99,117
214,49.54,47,68.19,68,84.11,77
215,64.87,78,61.02,72,89.92,98
216,26.6,41,43.78,60,55.78,79
217,63.05,54,87.3,73,97.28,79
218,62.5,58,90.48,82,99,92
219,43.77,55,56.95,61,67.55,71
220,33.82,47,23.92,42,47.2,66
221,72.9,83,75.72,94,99,107
222,52.05,62,25.93,40,60.79,68
223,50.21,50,72.61,70,86.03,83
224,63.54,71,89.28,100,99,108
225,66.49,62,70.64,61,91.84,98
226,84.13,83,17.48,32,86.18,88
227,18.05,34,36.76,53,48.33,66
228,57.22,60,95.4,100,99,102
229,77.61,96,61.46,82,95.86,118
230,66.24,78,85.8,101,99,120
231,5.53,31,17.64,37,22.14,54
232,59.71,65,79.9,90,87.12,95
233,84.36,96,53.84,68,98.32,114
234,49.13,51,57.99,61,62.37,66
235,40.82,77,40.09,66,54.45,98
236,16.46,44,44.55,83,44.55,86
237,67.03,79,76.56,101,98.8,113
238,53.51,46,98.38,83,99,84
239,26.68,45,56.19,67,72.2,89
240,5.98,35,11.98,47,17.66,87
241,55.83,59,96.18,98,99,102
242,87.34,114,48.82,70,99,128
243,92.23,97,27.64,41,96.78,100
244,63.7,70,89.12,97,99,105
245,87.23,116,49.44,69,99,127
246,29.52,40,66.94,70,71.54,76
247,95.5,126,27.04,43,99,130
248,52.17,46,69.65,60,75.01,65
249,66.63,68,47.66,54,88.64,86
250,48.32,48,72.98,74,73.26,75
251,62.63,93,58.95,84,82.17,133
252,75.39,81,71.88,88,98.66,107
253,65.28,76,86.6,105,99,166
254,58.96,66,94.08,126,99,122
255,82.46,99,59.12,77,98.88,124
256,23.1,36,17.64,39,23.6,52
257,54.82,58,97.16,100,99,99
258,52.2,52,94.52,81,98.3,83
259,38.81,47,33.58,48,53.38,71
260,61.48,66,89.2,98,98.44,106
261,41.27,65,66.14,93,78.47,117
262,96.72,134,22.14,38,99,129
263,21,45,47.05,65,55.37,83
264,70.79,74,17.93,30,76.21,80
265,11.85,34,7.44,31,19.13,52
266,53.55,65,83.52,100,97.66,132
267,64.08,68,87.96,97,99,107
268,65.88,67,3.22,17,68.84,80
269,70.61,69,73.32,77,93.06,89
270,60.28,67,92.66,102,99,109
271,38.89,56,40.86,55,68.09,86
272,40.25,52,42.16,56,68.29,80
273,34.37,43,74.69,74,74.69,75
274,82.14,88,36.55,50,92.13,98
275,31.01,44,19.91,39,35.17,62
276,80.57,79,63.74,70,99,99
277,48.73,49,81.61,74,81.65,76
278,55.44,48,93.58,73,97.82,76
279,56.6,52,36.47,47,67.85,66
280,69.25,83,81.6,98,99,117
281,43.8,40,56.94,58,75.26,68
282,68.86,72,82.68,92,99,144
283,51.56,73,86.11,84,92.91,83
284,25.14,53,29.42,49,48.04,80
285,9.6,39,2.03,21,9.63,44
286,60.27,69,92.74,105,99,106
287,87.24,117,49.34,72,99,126
288,78.07,89,66.88,84,98.5,112
289,75.32,97,68.78,89,97.14,122
290,65.4,60,46.16,49,74.92,72
291,76.09,100,60.75,83,94.05,121
292,55.74,49,96.44,81,99,83
293,51.45,50,93.68,109,94.26,82
294,59.43,64,93.04,98,99,104
295,64.87,74,87.62,101,99,166
296,56.98,63,95.92,99,99,103
297,70.15,76,31.44,44,85.28,92
298,80.37,102,64.18,84,99,132
299,51.76,53,96.76,84,97.78,87
300,68.18,66,80.02,76,98.96,87
301,66.96,81,84.86,103,99,114
302,50.38,48,95.88,70,95.88,72
303,2.89,42,13.61,46,14.48,76
304,51.76,53,92,84,94.34,84
305,49.27,44,77.25,79,82.97,69
306,96.83,92,18.94,28,98.46,93
307,54.25,50,95.77,95,97.97,91
308,50.94,47,93.72,73,95.12,76
309,64.05,60,88.54,84,99,95
310,84.75,119,30.93,51,90.09,125
311,19.79,43,32.32,50,44.75,71
312,23.33,40,18.05,40,35.89,61
313,21.85,37,58.21,63,64.98,72
314,7.72,33,12.04,41,16.08,60
315,5.49,30,2.44,33,7.93,51
316,32.65,48,49.42,58,72.75,83
317,41.97,64,65.8,92,71.28,103
318,28.52,50,41.88,56,56.22,81
319,31.92,39,34.31,48,54.35,63
320,18.7,49,48.3,83,56.46,101
321,42.04,43,42.61,49,53.35,58
322,42.39,62,65.49,90,71.85,101
323,40.15,39,53.29,54,54.01,57
324,89.78,120,42.94,65,99,127
325,59.16,69,93.76,102,99,110
326,20.3,42,12.52,36,23.82,54
327,16.4,33,26.49,45,37.87,63
328,28.25,56,41.61,63,46.53,81
329,72.27,99,28.25,48,72.27,101
330,23.7,56,43.78,65,45.54,82
331,59.88,58,93.04,96,99,103
332,15.31,42,50.57,79,56.98,98
333,68.12,74,81.78,91,98.34,106
334,7.77,34,18.64,50,21.65,65
335,88.47,82,44.62,49,98.34,91
336,85.91,91,52.2,60,99,102
337,30.68,47,48.23,61,56.77,69
338,34.04,56,55.02,75,66.54,97
339,61.91,56,74.26,75,86.44,72
340,64.6,59,85.18,70,96.88,76
341,66.04,80,86.46,106,99,130
342,58.72,67,44.79,60,64.27,77
343,20.12,40,10.83,34,20.13,52
344,72.35,87,74.72,93,97.78,121
345,6.68,34,27.72,58,27.72,73
346,46.96,49,71.22,72,71.28,74
347,22.58,51,51.09,81,62.13,106
348,85.43,87,53.68,61,99,102
349,37.4,83,30.88,43,42.94,57
350,86.57,111,46.38,71,98.34,125
351,46.58,49,55.03,61,73.07,77
352,18.83,34,20.71,46,20.79,53
353,49.62,43,78.57,66,80.19,66
354,52.56,70,98.72,90,99,92
355,43.86,42,54.36,53,77.46,70
356,6.52,30,5.36,35,9.02,50
357,94.39,126,30.24,48,99,133
358,7.72,28,6.22,34,7.92,47
359,45.58,42,61.92,57,67.88,62
360,58.74,62,94.3,101,99,105
361,68.8,82,81.94,100,99,117
362,28.67,52,58.63,74,67.3,89
363,66.15,76,86.06,101,99,114
364,8.48,34,35.08,59,35.08,71
365,51.43,51,88.94,89,89.1,85
366,63.32,69,89.54,101,99,115
367,57.65,58,94.98,96,99,99
368,49.51,50,67.74,69,83.5,83
369,40.06,43,36.3,42,51.24,59
370,49.77,53,75.22,71,76.36,72
371,50.13,55,42.85,72,54.45,69
372,42.56,52,82.72,94,86.96,101
373,28.72,38,31.05,45,37.41,66
374,19.14,41,12.62,37,31.76,62
375,22.24,36,35.68,52,51.5,64
376,7.13,41,36.84,65,41.35,82
377,64.82,65,87.1,91,99,103
378,11.16,38,4.5,32,15.66,53
379,52.56,52,98.92,89,99,91
380,42.76,72,58.62,85,67.32,104
381,50.13,50,70.8,69,86.04,85
382,60.89,62,91.5,97,99,105
383,50.7,51,79.73,76,84.19,80
384,16.03,38,47.27,54,48.45,68
385,10.98,28,9.78,36,11.88,50
386,18.4,40,34.15,51,35.57,68
387,84.45,76,46.16,48,96.16,86
388,29.22,42,18.44,37,32.84,57
389,85.54,102,53.28,72,99,133
390,98.84,132,9.72,24,98.84,149
391,27.27,41,49.58,61,61.89,79
392,33.11,61,58.42,88,70.63,114
393,77.06,95,69.86,98,99,123
394,49.67,62,35.43,50,67.83,80
395,59.52,69,84.64,102,98.86,106
396,14.72,33,24.54,47,35.56,64
397,53.64,54,98.2,94,99,93
398,9.87,38,41.34,67,44.85,84
399,9.52,37,15.66,42,25.18,67
400,17.09,36,44.76,52,59.09,68
401,71.87,81,76.32,91,98.6,109
402,84.01,77,49.84,54,96.42,93
403,80.18,102,64.52,86,99,119
404,55.32,51,83.3,70,90.08,76
405,83.78,98,55.8,77,99,124
406,69.9,82,81.16,98,99,116
407,20.97,33,61.38,67,61.38,74
408,34.41,53,69.49,91,70.29,104
409,65.58,69,86.18,95,99,105
410,57.22,61,93.9,100,99,107
411,50.5,50,79.73,74,82.25,82
412,94.21,124,30.6,48,99,134
413,52.33,52,98.6,95,99,96
414,5.7,34,33.61,56,35.69,77
415,46.5,49,56.08,65,65.54,74
416,55.79,55,50.8,54,75.42,72
417,53.49,89,97.48,101,98.88,99
418,37.52,40,61.5,65,62.1,63
419,56.26,56,95.96,98,99,97
420,20.28,49,15.37,32,30.83,61
421,13.93,43,26.32,45,27.34,63
422,83.93,102,40.6,59,93.28,111
423,45.73,55,78.52,86,89.76,101
424,70.05,64,79.94,72,99,98
425,7.9,33,30.69,53,30.69,67
426,46,48,84.36,78,85,77
427,98.22,128,15.78,30,98.96,131
428,70.55,80,42.79,58,86.7,93
429,54.36,48,87.58,68,94.1,73
430,69.44,81,81.16,120,99,122
431,19.74,43,46.96,67,54.86,84
432,64.83,78,53.72,73,73.26,89
433,69,94,36.2,57,77.22,119
434,71.18,81,78.7,100,99,130
435,43.83,49,47.33,59,55.17,70
436,73.29,85,76.44,93,99,116
437,56.45,159,65.88,89,81.18,118
438,72.67,106,20.96,41,75.24,113
439,54.73,57,63.98,61,87.4,90
440,46.01,60,80,99,83.16,106
441,61.6,74,75.26,78,93.92,94
442,49.73,52,70.44,69,81.96,80
443,42.43,47,62.45,65,78.15,77
444,56.61,56,95.58,95,99,99
445,20.73,40,8.46,28,21.08,51
446,58.93,72,67.44,79,88.16,99
447,60.15,65,92.62,102,99,109
448,74.11,88,74.44,96,99,117
449,91.94,87,35.86,43,98.46,94
450,80.18,73,64.52,62,99,89
451,52.9,52,97.46,92,98.62,95
452,4.92,30,26.79,46,26.79,58
453,10.46,30,28.86,48,29.86,57
454,53.63,54,98.02,98,99,100
455,48.46,49,65.85,66,69.65,76
456,50.6,52,94.86,93,98.26,98
457,91.9,81,34.98,38,98.3,89
458,48.62,51,64.57,66,78.97,78
459,65.12,73,87.46,100,99,109
460,42.15,48,58.57,64,61.91,71
461,7.74,39,31.98,55,35.84,76
462,56.72,51,95.62,88,99,90
463,8.26,31,35.97,58,43.01,77
464,75.77,68,21.81,31,89.8,80
465,46.74,49,56.64,62,69.04,72
466,71.22,84,79.18,102,99,113
467,58.93,62,93.76,123,99,105
468,19.75,40,15.57,41,24.77,61
469,5.52,28,1.82,33,6.84,49
470,62.07,71,68.98,85,88.42,106
471,51.94,58,9.47,23,52.14,62
472,86.96,117,49.64,69,99,130
473,45.38,43,57.45,55,77.83,70
474,64.35,73,85.46,96,99,112
475,35.53,38,41.29,50,42.57,56
476,54.93,49,97.22,91,99,87
477,63.11,58,89.46,82,99,89
478,64.74,83,63.72,84,94.92,151
479,7.8,29,15.16,40,21.64,54
480,79.1,117,65.58,86,99,125
481,57.85,67,57.7,66,85.44,103
482,66.46,100,32.44,52,73.26,115
483,48.43,50,63.64,66,76,80
484,29.38,49,6.32,32,33.1,63
485,68.1,69,83.66,93,99,95
486,61.87,55,90.34,76,98.68,81
487,32.33,54,7.97,31,32.33,61
488,84.39,122,38.07,59,92.07,119
489,35.63,56,63.59,73,75.33,90
490,73.86,101,54.63,78,89.9,121
491,88.58,116,46.06,67,99,127
492,37.08,58,3.22,19,40.3,85
493,69.2,82,81.44,98,99,116
494,14.58,38,42.84,54,55.64,74
495,17.2,31,17.49,40,26.01,53
496,45.2,46,62.68,68,70.22,67
497,45.07,49,50.08,58,67.22,74
498,24.18,42,7.62,31,31.54,66
499,41.68,42,45.88,50,68.36,68
500,79.39,130,65.24,91,99,121
501,83.27,107,58.36,79,99,125
502,66.26,77,86.06,103,99,111
503,51.6,46,50.18,51,67.9,63
504,67.22,70,68.8,72,92.68,93
505,60.56,65,92.5,103,99,119
506,3.91,32,1.45,25,4.27,50
507,49.65,50,73.74,86,74.86,75
508,17.66,42,7.32,28,24.68,58
509,56.68,55,46.45,45,70.53,69
510,75.09,87,73.28,93,99,111
511,6.27,32,36.78,66,38.57,82
512,73.98,96,35.83,44,86.89,86
513,39.41,45,49.69,61,50.49,70
514,28.62,40,19.32,36,40.04,58
515,51.94,50,87.96,77,95.96,84
516,65.54,68,69.7,78,92.62,89
517,77.67,78,68.88,75,99,95
518,2.66,28,3.08,31,3.22,47
519,76.09,93,71.04,93,99,127
520,54.1,54,97.52,100,99,98
521,68.81,72,79.89,91,98.01,102
522,47.45,52,24.98,30,53.58,60
523,97.1,129,20.86,38,99,132
524,58.28,61,90.58,102,95.04,102
525,25.03,41,13,33,25.74,54
526,77.62,68,68.62,60,98.9,82
527,88.11,116,37.9,58,95.68,129
528,43.6,51,35.9,48,45.54,64
529,42.47,70,56.18,92,65.34,102
530,30.38,44,19.87,39,37.25,61
531,88.32,110,46.02,91,99,134
532,67.98,62,83.22,79,98.84,99
533,22.6,40,12.14,31,29.46,58
534,45.64,45,77.12,69,80.94,80
535,17.33,46,28.94,54,43.04,86
536,16.61,33,17.15,39,22.87,53
537,47.23,49,58.65,63,69.73,76
538,90.08,115,41.08,58,98.62,123
539,45.76,47,62.58,64,82.68,81
540,87.97,116,38.1,56,95.58,124
541,62.84,59,89.84,88,99,89
542,52.73,70,98.72,90,99,90
543,86.6,81,45.96,45,96.98,85
544,41.04,43,56.54,58,61.38,72
545,55.96,57,96.7,98,99,100
546,67.85,61,70.62,60,91.88,77
547,29.95,37,41.21,48,42.09,55
548,57.17,61,95.36,105,99,104
549,44.57,51,80.16,71,80.54,73
550,67.12,91,52.9,73,84.86,112
551,53.46,58,28.26,65,67.28,68
552,44.4,56,41.5,54,75.18,83
553,70.6,64,79.74,73,99,86
554,52.61,53,98.78,88,99,109
555,14.84,44,49.28,70,57.96,84
556,35.95,69,45.99,70,54.45,91
557,3.92,28,7.34,37,11.26,53
558,55.76,52,95.94,83,99,87
559,78.71,99,65.2,84,98.54,126
560,7.52,38,24.75,54,24.75,68
561,64.79,68,85.46,92,98.12,104
562,65.27,74,87.04,102,99,109
563,80.66,96,62.52,80,98.86,119
564,7.24,30,8.34,39,15.58,53
565,71.52,85,62.92,83,92.16,111
566,12.06,32,8.18,35,15,52
567,68.55,82,82.48,99,99,115
568,59.38,65,93.04,104,99,109
569,0.61,26,4.02,39,4.63,56
570,21.85,43,55.79,62,66.22,79
571,13.68,41,43.53,69,49.99,91
572,28.42,41,22.91,43,46.75,66
573,78.76,97,66.38,84,99,119
574,67.17,71,84.22,97,98.84,113
575,69.66,77,48.8,68,86.02,102
576,82.43,100,57.02,76,99,118
577,44.62,49,37.22,42,58.64,62
578,73.59,90,75.74,95,99,114
579,68.26,83,82.92,99,99,119
580,24.43,37,25.33,44,32.71,55
581,53.9,54,98.1,96,99,99
582,85.07,88,40.68,54,94.9,101
583,67.48,81,58.86,77,79.2,94
584,30.47,38,36.63,47,43.63,58
585,85.3,123,46.18,67,96.5,113
586,19.78,36,25.11,50,36.63,65
587,88.25,79,47.36,50,99,88
588,67.68,74,53.18,65,89.1,93
589,53.46,54,89.53,80,94.73,85
590,59.68,59,93.24,96,99,100
591,98.04,119,16.7,31,99,118
592,52.47,70,72.69,95,82.17,109
593,62.25,71,90.12,104,99,111
594,76.21,94,71.12,93,99,124
595,45.74,44,86.78,76,91.12,77
596,39.67,58,72.88,93,81.81,114
597,53.07,47,97.94,83,98.96,80
598,28.07,42,18.72,41,36.01,59
599,63.17,76,43.08,59,76.38,98
600,56.07,60,96.18,102,99,101
601,17.18,36,31.77,56,41.33,75
602,68.4,80,83.2,99,99,122
603,34.23,66,36.92,61,47.52,86
604,18.42,48,16.04,41,34.46,72
605,40.41,49,36.57,51,60.03,71
606,48.89,50,66.46,66,77.46,76
607,42.38,44,36.69,44,54.35,61
608,92.99,123,34.64,56,99,130
609,28.85,36,34.61,49,34.65,62
610,26.52,45,4.28,22,30.78,57
611,80.53,109,52.15,76,94.05,125
612,72.58,70,36.04,42,83.98,77
613,12.51,36,32.69,50,37.14,87
614,37.73,67,58.02,90,73.97,126
615,64.59,81,28.69,44,70.29,90
616,67.26,75,84.04,104,99,115
617,56.68,64,82.96,89,99,98
618,39.51,49,38.09,52,58.97,74
619,50.43,50,62.8,58,80.38,71
620,51.78,44,97.9,76,98.96,79
621,33.37,56,67.11,92,75.03,109
622,51.61,44,90.76,72,92.92,79
623,34.29,56,38.01,51,49.12,81
624,3.8,26,12.24,39,16.04,49
625,70.07,88,80.74,104,99,115
626,70.1,61,80.74,71,99,81
627,50.47,44,76.75,67,84.55,72
628,48.1,68,59.82,64,78.74,79
629,77.47,99,69.28,99,99,137
630,93.47,97,32.86,42,98.92,100
631,92.36,123,36.5,55,99,133
632,0.78,24,2.06,35,2.84,46
633,4.41,31,29.18,45,33.37,61
634,56.34,59,96.18,98,99,103
635,65.9,62,46.54,42,77.56,68
636,57.42,75,20.26,39,57.42,87
637,60.59,57,92.28,85,99,92
638,41.29,47,61.31,57,67.69,70
639,79.35,97,65.62,86,99,136
640,57.82,63,94.56,101,99,106
641,9.38,32,8.06,38,16.4,56
642,75.03,71,60,70,93.68,93
643,18.8,37,9.52,32,22.1,53
644,61.14,52,70.64,58,82.24,96
645,70.69,63,29.49,33,74.31,67
646,85.87,108,52.28,66,99,115
647,53.48,54,98.2,92,99,95
648,66.29,68,81.12,81,99,99
649,51.77,56,98.2,95,98.92,93
650,60.25,71,92.92,100,99,108
651,45.95,50,54.3,57,64.26,67
652,40.09,61,36.08,50,58.26,70
653,64.33,71,88.04,78,99,85
654,53.86,55,98.1,94,99,93
655,75.64,99,72.62,98,99,115
656,73,80,74.36,89,98.2,108
657,54.66,49,97.22,84,99,87
658,31.62,44,29.65,43,45.61,62
659,70.68,88,73.06,95,95.4,125
660,55.55,71,50.91,64,77.53,92
661,56.08,55,96.12,97,99,100
662,79.35,87,63.3,81,98.86,118
663,27.63,52,48.25,58,64.26,83
664,5.44,31,3.24,31,6.84,50
665,66.47,57,73.66,62,92.78,78
666,63.12,77,61,82,86.02,103
667,56,49,95.98,78,98.96,89
668,43.7,45,78.98,66,83.22,70
669,81.43,94,61.7,77,99,115
670,44.68,50,49.11,57,64.99,85
671,61.26,65,60.16,65,94,91
672,14,31,13.46,35,17.3,49
673,64.05,76,53.84,70,86.95,103
674,74.09,92,46.16,63,88.09,108
675,51.74,50,98.98,86,99,84
676,55.2,57,96.52,76,98.86,79
677,47.25,50,18.89,35,47.25,59
678,72.45,86,77.18,95,99,117
679,46.17,41,74.4,62,75.88,64
680,76.2,88,44.38,60,90.48,106
681,78.22,97,67.2,88,99,123
682,36.08,40,64.82,63,74.6,70
683,13.72,34,16.08,39,20.56,54
684,5.09,37,25.73,43,29.76,65
685,53.36,54,98.2,95,99,97
686,16.72,39,14.82,42,30.86,68
687,32.34,54,45.81,64,64.29,120
688,47.6,43,78.28,83,92.46,91
689,61.18,66,91.78,104,99,109
690,16.81,43,52.43,76,57.86,89
691,32.88,43,44,57,54.12,80
692,69.85,98,79.9,83,99,97
693,32.97,48,22.79,41,39.01,66
694,33.03,43,78.21,77,78.21,85
695,67.64,64,83.98,73,98.96,86
696,53.22,46,97.82,73,98.62,75
697,79.28,98,65.38,84,99,125
698,2.36,31,14.85,45,14.85,62
699,17.65,35,15.63,39,23.57,54
700,96.3,120,16.4,31,97.28,121
701,80.57,109,63.46,87,99,125
702,36.04,48,52.31,64,65.79,76
703,71,61,78.26,68,98.84,79
704,39.4,49,38.21,50,48.81,63
705,52.7,46,51,54,68.36,65
706,39.61,43,35.92,48,43.5,57
707,63.69,72,89.08,106,99,112
708,79.51,101,65.38,105,99,125
709,62.28,65,90.16,102,99,109
710,57.67,53,94,80,99,88
711,47.76,50,62.72,66,64.6,68
712,73.05,88,76.52,100,99,118
713,82.19,103,33.4,36,88.22,78
714,69.44,64,80.94,75,99,86
